Club_names,City,Link
Montgomery Gem & Mineral Society,Montgomery,http://montgomerygemandmineralsociety.com/mgms/
Mat-Su Rock and Mineral Club,Palmer,http://matsurockclub.com/
Wickenburg Gem and Mineral Society,Wickenburg,http://www.wickenburggms.org/
"Ozark Earth Science Gem, Mineral & Fossil Club",Mountain Home,https://www.ozarkearthscience.com/
Yucaipa Valley Gem & Mineral Society,Yucaipa,http://www.yvgms.org/wiki/
Western Interior Paleontological Society,Denver,http://www.westernpaleo.org/
Stamford Mineralogical Society,Stamford,http://www.stamfordmineralsociety.org/
"Delaware Mineralogical Society, Inc.",Wilmington,http://www.delminsociety.net/
Withlacoochee Rockhounds,Spring Hill,http://www.withlacoocheerockhounds.com/
Rome Georgia Mineral Society Inc.,Rome,https://rogams.wordpress.com/
"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",Honolulu,http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html
Southeast Idaho Gem and Mineral Society,Boise,https://www.facebook.com/SEIGMS
West Suburban Lapidary Club,Elmhurst,http://www.westsuburbanlapidaryclub.com/
Three Rivers Gem & Mineral Society,Fort Wayne,http://3riversgem_mineral.tripod.com/
The Sac & Fox Lapidary Club,Fairfield,http://members.iowatelecom.net/billrath/rock_club.html
Wichita Paleontological Society,Wichita,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
Kentucky Paleontological Society,Lexington,http://www.uky.edu/OtherOrgs/KPS/
DeRidder Gem & Mineral Society,Leesville,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/
Penobscot Mineral and Lapidary Club,Milford,http://penobscotminerallapidaryclub.com/index.html
The Mineralogical Society of the District of Columbia,"Washington, DC",http://www.mineralogicalsocietyofdc.org/
Worcester Mineral Club,Worcester,http://worcestermineralclub.org/
"Tulip City Gem & Mineral Club, Inc.",Holland,http://www.tulipcity.org/
St Croix Rockhounds,Stillwater,http://stcroixrockhounds.org/
North Mississippi Gem and Mineral Society,Tupelo,http://www.nmgms.org/
Show-Me Rockhounds Kansas City,Kansas City,https://showmerockhounds.com/
Kalispell Rockhound Club,Kalispell,http://www.kalispellrockhounds.org/
"Lincoln Gem & Mineral Club, Inc.",Lincoln,https://www.lincolngemmineralclub.org/
Southern Nevada Gem and Mineral Society,Las Vegas,http://www.snvgms.org/
Southeastern New Hampshire Mineral Club,Dover,https://www.senhmc.org/
"North Jersey Mineralogical Society, Inc.",Paterson,http://www.nojms.webs.com/
Los Alamos Geological Society,Los Alamos,http://pweb.netcom.com/~hoffmans/LAGS.html
Wayne County Gem and Mineral Club,Newark,http://www.wcgmc.org/
Tar Heel Gem & Mineral Club,Raleigh,http://www.tarheelclub.org/
Central Dakota Gem & Mineral Society,Bismarck,https://ndrockclub.org/
Toledo Gem & Rockhound Club,Toledo,http://rockyreader.com/
Tahlequah Rock and Mineral Society,Tahlequah,http://tramsok.webs.com/
"Willamette Agate and Mineral Society, Inc.",Salem,http://www.wamsi.net/
Tuscarora Lapidary Society,Brookhaven,http://www.lapidary.org/
"Rhode Island Mineral Hunters, Inc.",Warwick,http://rimh.us/
Western South Carolina Gem and Mineral Society,Greenville,http://www.wescagem.org/
Western Dakota Gem & Mineral Society,Rapid City,http://www.wdgms.org/
Mid-Tennessee Gem and Mineral Society,"Murfreesboro, Donelson, Tullahoma",http://www.mtgms.org/
"Wise County Fossil, Rock and Mineral Society",Decatur,http://wisecofossilrockandmineralsoc.weebly.com/
Wasatch Gem Society,Salt Lake City,http://www.wasatchgemsociety.com/
Rutland Rock & Mineral Club,Rutland,http://www.rutlandrockmineralclub.50webs.com/
Tidewater Gem & Mineral Society,Virginia Beach,http://tgms.weebly.com/
Yakima Rock & Mineral Club,Yakima,http://www.yakimarockclub.com/
West Virginia Fossil Club Inc,Clarksburg,http://www.westvirginiafossilclub.com/
Wisconsin Geological Society,West Allis,http://www.wisgeologicalsociety.com/
Wyoming State Mineral and Gem Society,Cody,http://wymineralandgemsociety.org
